# Parcel ID -> Zoning Mapping
# Format: parcel_id|zoning
# Generated for Teton County WY

|P/SP
22-39-16-03-1-00-003|R1
22-39-16-03-1-00-003.01|MHP
22-39-16-03-1-00-003.02|MHP
22-39-16-03-1-00-003.03|MHP
22-39-16-03-1-00-003.04|MHP
22-39-16-03-1-00-003.05|MHP
22-39-16-03-1-00-003.06|MHP
22-39-16-03-1-00-003.07|MHP
22-39-16-03-1-00-003.08|MHP
22-39-16-03-1-00-003.09|MHP
22-39-16-03-1-00-003.10|MHP
22-39-16-03-1-00-003.11|MHP
22-39-16-03-1-00-003.12|MHP
22-39-16-03-1-00-003.13|MHP
22-39-16-03-1-00-003.14|MHP
22-39-16-03-1-00-003.15|MHP
22-39-16-03-1-00-003.16|MHP
22-39-16-03-1-00-003.17|MHP
22-39-16-03-1-00-003.18|MHP
22-39-16-03-1-00-003.19|MHP
22-39-16-03-1-00-003.20|MHP
22-39-16-03-1-00-003.21|MHP
22-39-16-03-1-00-003.22|MHP
22-39-16-03-1-00-003.23|MHP
22-39-16-03-1-00-003.24|MHP
22-39-16-03-1-00-003.25|MHP
22-39-16-03-1-00-003.26|MHP
22-39-16-03-1-00-003.27|MHP
22-39-16-03-1-00-003.28|MHP
22-39-16-03-1-00-003.29|MHP
22-39-16-03-1-00-003.30|MHP
22-39-16-03-1-00-003.31|MHP
22-39-16-03-1-00-003.32|MHP
22-39-16-03-1-00-003.33|MHP
22-39-16-03-1-00-003.34|MHP
22-39-16-03-1-00-003.35|MHP
22-39-16-03-1-00-003.36|MHP
22-39-16-03-1-00-003.37|MHP
22-39-16-03-1-00-003.38|MHP
22-39-16-03-1-00-003.39|MHP
22-39-16-03-1-00-003.40|MHP
22-39-16-03-1-00-003.41|MHP
22-39-16-03-1-00-003.42|MHP
22-39-16-03-1-00-003.43|MHP
22-39-16-03-1-00-003.44|MHP
22-39-16-03-1-00-003.45|MHP
22-39-16-03-1-00-003.46|MHP
22-39-16-03-1-00-003.47|MHP
22-39-16-03-1-00-003.48|MHP
22-39-16-03-1-00-003.49|MHP
22-39-16-03-1-00-003.50|MHP
22-39-16-03-1-00-003.51|MHP
22-39-16-03-1-00-003.52|MHP
22-39-16-03-1-00-003.53|MHP
22-39-16-03-1-00-003.54|MHP
22-39-16-03-1-00-003.55|MHP
22-39-16-03-1-00-003.56|MHP
22-39-16-03-1-00-003.57|MHP
22-39-16-03-1-00-003.58|MHP
22-39-16-03-1-00-003.59|MHP
22-39-16-03-1-00-003.60|MHP
22-39-16-03-1-00-003.61|MHP
22-39-16-03-1-00-003.62|MHP
22-39-16-03-1-00-003.63|MHP
22-39-16-03-1-00-003.64|MHP
22-39-16-03-1-00-003.65|MHP
22-39-16-03-1-00-003.66|MHP
22-39-16-03-1-00-003.67|MHP
22-39-16-03-1-00-003.68|MHP
22-39-16-03-1-00-003.69|MHP
22-39-16-03-1-00-003.70|MHP
22-39-16-03-1-00-003.71|MHP
22-39-16-03-1-00-003.72|MHP
22-39-16-03-1-00-011|P/SP
22-39-16-03-1-00-012|WHB
22-39-16-03-1-00-013|WHB
22-39-16-03-2-00-004|R1
22-39-16-03-2-00-037|R2
22-39-16-03-2-00-041|R2
22-39-16-03-2-00-043|R2
22-39-16-03-2-00-044|R2
22-39-16-03-2-00-045|R2
22-39-16-03-2-00-046|R2
22-39-16-03-2-00-047|R2
22-39-16-03-3-00-007|WHB
22-39-16-03-3-00-010|WHB
22-39-16-03-3-00-010.01|WHB
22-39-16-03-3-00-010.02|WHB
22-39-16-03-3-00-022|WHB
22-39-16-03-3-00-023|WHB
22-39-16-03-3-00-024|WHB
22-39-16-03-3-00-025|WHB
22-39-16-03-3-00-025.01|WHB
22-39-16-03-3-00-025.02|WHB
22-39-16-03-3-00-025.03|WHB
22-39-16-03-3-00-025.04|WHB
22-39-16-03-3-00-026|WHB
22-39-16-03-3-00-027|WHB
22-39-16-03-3-00-028|WHB
22-39-16-03-3-00-029|WHB
22-39-16-03-3-00-030|WHB
22-39-16-03-3-00-035|WHB
22-39-16-03-3-00-037|WHB
22-39-16-03-3-00-038|WHB
22-39-16-03-3-00-038.01|WHB
22-39-16-03-3-00-039|WHB
22-39-16-03-3-00-040|WHB
22-39-16-03-3-00-040.01|WHB
22-39-16-03-3-00-040.03|WHB
22-39-16-03-3-00-041|WHB
22-39-16-03-3-00-042|WHB
22-39-16-03-3-00-043|P/SP
22-39-16-03-4-00-012|BP
22-39-16-03-4-00-014|NC
22-39-16-03-4-00-015|NC
22-39-16-03-4-00-016|NC
22-39-16-03-4-00-017|NC
22-39-16-03-4-00-018|BP
22-39-16-03-4-00-031|WHB
22-39-16-03-4-00-032|WHB
22-39-16-03-4-00-033|WHB
22-39-16-03-4-00-034|WHB
22-39-16-03-4-00-035|WHB
22-39-16-03-4-00-036|WHB
22-39-16-03-4-00-037|WHB
22-39-16-03-4-00-038|WHB
22-39-16-03-4-00-039|NC
22-39-16-03-4-00-040|NC
22-39-16-03-4-00-041|NC
22-39-16-03-4-01-001|WHB
22-39-16-03-4-01-002|WHB
22-39-16-03-4-01-003|WHB
22-39-16-03-4-01-004|WHB
22-39-16-03-4-01-005|WHB
22-39-16-03-4-01-006|WHB
22-39-16-03-4-01-007|WHB
22-39-16-03-4-01-008|WHB
22-39-16-03-4-01-009|WHB
22-39-16-03-4-01-010|WHB
22-39-16-03-4-01-011|WHB
22-39-16-03-4-01-012|WHB
22-39-16-03-4-01-013|WHB
22-39-16-03-4-01-014|WHB
22-39-16-03-4-01-015|WHB
22-39-16-03-4-01-016|WHB
22-39-16-03-4-01-017|WHB
22-39-16-03-4-01-018|WHB
22-39-16-03-4-01-019|WHB
22-39-16-10-1-00-004|WHB
22-39-16-10-1-00-005|WHB
22-39-16-10-1-00-006|WHB
22-39-16-10-1-00-006.01|WHB
22-39-16-10-1-00-007|WHB
22-39-16-10-1-00-008|WHB
22-39-16-10-1-00-009|WHB
22-39-16-10-1-00-010|WHB
22-39-16-11-1-00-003|R3
22-39-16-11-1-00-004|R3
22-39-16-11-1-02-001|R3
22-39-16-11-1-02-002|R3
22-39-16-11-1-03-001|R3
22-39-16-11-1-04-001|R2
22-39-16-11-1-04-002|R3
22-39-16-11-1-04-003|R3
22-39-16-11-1-04-004|R3
22-39-16-11-1-04-005|R3
22-39-16-11-1-05-001|R2
22-39-16-11-1-05-002|R2
22-39-16-11-1-05-003|R2
22-39-16-11-2-00-006|NC
22-39-16-11-2-00-018|WHB
22-39-16-11-2-00-019|WHB
22-39-16-11-2-00-019.01|WHB
22-39-16-11-2-00-020|WHB
22-39-16-11-2-00-021|WHB
22-39-16-11-2-00-022|WHB
22-39-16-11-2-00-023|WHB
22-39-16-11-2-03-001|WHB
22-39-16-11-2-03-002|WHB
22-39-16-11-2-03-003|WHB
22-39-16-11-2-03-004|WHB
22-39-16-11-2-03-005|WHB
22-39-16-11-3-00-001|R
22-39-16-11-3-00-002|R
22-39-16-11-3-00-003|R
22-39-16-11-3-00-004|R
22-39-16-11-4-00-010|R3
22-39-16-11-4-00-012|R3
22-39-16-11-4-00-013|R3
22-39-16-11-4-00-017|R3
22-39-16-11-4-00-019|R3
22-39-16-11-4-00-020|R3
22-39-16-11-4-00-021|R3
22-39-16-11-4-00-023|R3
22-39-16-11-4-00-026|R3
22-39-16-11-4-00-027|R3
22-39-16-11-4-05-001|R3
22-39-16-11-4-05-002|R3
22-39-16-11-4-05-003|R3
22-39-16-11-4-05-004|R3
22-39-16-11-4-05-005|R3
22-39-16-11-4-05-006|R3
22-39-16-11-4-05-007|R3
22-39-16-11-4-05-008|R3
22-39-16-11-4-05-009|R3
22-39-16-11-4-05-010|R3
22-39-16-11-4-05-011|R3
22-39-16-12-1-00-002|R1
22-39-16-12-1-00-003|R1
22-39-16-12-1-00-004|R1
22-39-16-12-1-00-005|R1
22-39-16-12-2-00-004|R2
22-39-16-12-2-00-005|R2
22-39-16-12-2-00-006|R2
22-39-16-12-2-00-007|R2
22-39-16-12-2-00-008|R2
22-39-16-12-2-00-009|R2
22-39-16-12-2-01-001|R2
22-39-16-12-2-01-002|R2
22-39-16-12-3-00-010|R2
22-39-16-12-3-00-011|R2
22-39-16-12-3-00-012|R2
22-39-16-12-3-00-013|R2
22-39-16-12-4-00-010|R2
22-39-16-12-4-00-011|R2
22-39-16-12-4-00-012|R2
22-39-16-12-4-00-013|R2
22-39-16-13-1-00-003.01|R2
22-39-16-13-1-00-006|R2
22-39-16-13-1-00-007|R2
22-39-16-13-1-00-008|R2
22-39-16-13-1-00-009|R2
22-39-16-13-1-00-010|R2
22-39-16-13-1-00-011|R2
22-39-16-13-1-00-013|R1
22-39-16-13-1-00-014|R2
22-39-16-13-1-00-015|R2
22-39-16-14-1-00-002|MHP
22-39-16-14-1-00-002.01|MHP
22-39-16-14-1-00-002.02|MHP
22-39-16-14-1-00-002.03|MHP
22-39-16-14-1-00-002.04|MHP
22-39-16-14-1-00-002.05|MHP
22-39-16-14-1-00-002.06|MHP
22-39-16-14-1-00-002.07|MHP
22-39-16-14-1-00-002.08|MHP
22-39-16-14-1-00-002.09|MHP
22-39-16-14-1-00-002.10|MHP
22-39-16-14-1-00-002.11|MHP
22-39-16-14-1-00-002.12|MHP
22-39-16-14-1-00-002.13|MHP
22-39-16-14-1-00-002.14|MHP
22-39-16-14-1-00-002.15|MHP
22-39-16-14-1-00-002.16|MHP
22-39-16-14-1-00-002.17|MHP
22-39-16-14-1-00-002.18|MHP
22-39-16-14-1-00-002.19|MHP
22-39-16-14-1-00-002.20|MHP
22-39-16-14-1-00-002.21|MHP
22-39-16-14-1-00-002.22|MHP
22-39-16-14-1-00-002.23|MHP
22-39-16-14-1-00-002.24|MHP
22-39-16-14-1-00-002.25|MHP
22-39-16-14-1-00-002.26|MHP
22-39-16-14-1-00-005|R3
22-39-16-14-1-00-005.01|R3
22-39-16-14-1-00-006|R3
22-39-16-14-1-00-007|R3
22-39-16-14-1-00-008|R3
22-39-16-14-1-00-010|R3
22-39-16-14-1-00-011|R3
22-39-16-14-1-00-012|R3
22-39-16-14-1-00-013|R3
22-39-16-14-1-00-013.01|R3
22-39-16-14-1-00-034|R3
22-39-16-14-1-00-034.01|R3
22-39-16-14-1-00-036|R3
22-39-16-14-1-00-042|R3
22-39-16-14-1-00-044|R3
22-39-16-14-1-00-046|R3
22-39-16-14-1-00-047|R3
22-39-16-14-1-00-048|R3
22-39-16-14-1-00-050|R2
22-39-16-14-1-00-050.01|R2
22-39-16-14-1-00-051|R2
22-39-16-14-1-00-052|R2
22-39-16-14-1-00-052.01|R2
22-39-16-14-1-00-053|R3
22-39-16-14-1-00-053.01|R3
22-39-16-14-1-00-053.02|R3
22-39-16-14-1-01-001|R3
22-39-16-14-1-01-002|R3
22-39-16-14-1-01-003|R3
22-39-16-14-1-01-004|R3
22-39-16-14-3-00-021|BC
22-39-16-14-3-00-029|R3
22-39-16-14-3-00-030|R3
22-39-16-14-3-00-032|R2
